Date/Time,Temp (C),Temp (F),Dew Point Temp (C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
2012-01-03 02:00:00,-10.5,13.099999999999998,-15.8,65,22,12.9,100.53,Snow Showers
2012-01-03 03:00:00,-11.3,11.659999999999997,-18.7,54,33,25.0,100.61,Snow Showers
2012-01-03 04:00:00,-12.6,9.32,-20.1,53,24,25.0,100.68,Cloudy
2012-01-03 05:00:00,-12.9,8.779999999999998,-19.1,60,22,25.0,100.76,Snow Showers
2012-01-03 06:00:00,-13.3,8.059999999999999,-19.3,61,19,25.0,100.85,Snow Showers
2012-01-03 07:00:00,-14.0,6.800000000000001,-19.5,63,19,25.0,100.95,Snow
2012-01-03 08:00:00,-14.8,5.359999999999999,-21.3,58,26,24.1,101.07,Mostly Cloudy
2012-01-03 09:00:00,-15.0,5.0,-21.9,56,19,24.1,101.2,Mostly Cloudy
2012-01-03 10:00:00,-15.3,4.459999999999997,-22.2,56,24,24.1,101.29,Cloudy
2012-01-03 11:00:00,-14.9,5.18,-22.2,54,22,24.1,101.33,Mostly Cloudy
2012-01-03 12:00:00,-14.9,5.18,-22.6,52,20,24.1,101.34,Mainly Clear
2012-01-03 13:00:00,-15.1,4.82,-22.4,54,22,24.1,101.34,Mainly Clear
2012-01-03 14:00:00,-14.9,5.18,-22.9,50,22,24.1,101.38,Mainly Clear
2012-01-03 15:00:00,-14.8,5.359999999999999,-22.2,53,19,24.1,101.44,Mainly Clear
2012-01-03 16:00:00,-15.3,4.459999999999997,-22.9,52,22,24.1,101.51,Mainly Clear
2012-01-03 17:00:00,-15.8,3.5599999999999987,-23.2,53,22,24.1,101.58,Mainly Clear
2012-01-03 18:00:00,-16.3,2.6599999999999966,-23.8,52,24,25.0,101.64,Mainly Clear
2012-01-03 19:00:00,-16.9,1.5800000000000018,-24.8,50,24,25.0,101.74,Clear
2012-01-03 20:00:00,-17.3,0.8599999999999994,-25.4,49,24,25.0,101.82,Mainly Clear
2012-01-03 21:00:00,-17.0,1.3999999999999986,-24.6,52,15,25.0,101.86,Mostly Cloudy
2012-01-03 22:00:00,-17.1,1.2199999999999953,-24.6,52,20,25.0,101.86,Mostly Cloudy
2012-01-03 23:00:00,-17.3,0.8599999999999994,-24.2,55,17,25.0,101.87,Mostly Cloudy
2012-01-04 00:00:00,-17.5,0.5,-24.2,56,13,25.0,101.88,Mostly Cloudy
2012-01-04 01:00:00,-17.9,-0.21999999999999886,-24.1,58,11,25.0,101.86,Mainly Clear
2012-01-04 02:00:00,-18.1,-0.5800000000000054,-23.8,61,15,25.0,101.89,Mainly Clear
2012-01-04 03:00:00,-18.5,-1.3000000000000043,-24.6,59,13,25.0,101.88,Mainly Clear
2012-01-04 04:00:00,-18.5,-1.3000000000000043,-24.6,59,13,25.0,101.82,Mainly Clear
2012-01-04 05:00:00,-18.6,-1.480000000000004,-24.0,62,9,25.0,101.77,Mainly Clear
2012-01-04 06:00:00,-18.5,-1.3000000000000043,-24.1,61,11,25.0,101.74,Cloudy
2012-01-04 07:00:00,-18.2,-0.759999999999998,-24.1,60,11,25.0,101.75,Cloudy
2012-01-04 08:00:00,-17.8,-0.03999999999999915,-24.2,57,17,24.1,101.73,Mostly Cloudy
2012-01-04 09:00:00,-16.8,1.759999999999998,-22.5,61,9,24.1,101.68,Mostly Cloudy
2012-01-04 10:00:00,-15.2,4.640000000000001,-20.6,63,7,24.1,101.54,Mostly Cloudy
2012-01-04 11:00:00,-14.2,6.440000000000001,-21.1,56,13,24.1,101.41,Mostly Cloudy
2012-01-04 12:00:00,-13.7,7.34,-21.7,51,11,24.1,101.25,Snow
2012-01-04 13:00:00,-12.4,9.68,-20.1,53,11,24.1,101.07,Cloudy
2012-01-04 14:00:00,-11.3,11.659999999999997,-19.0,53,7,19.3,100.97,Snow
2012-01-04 15:00:00,-10.2,13.64,-16.3,61,11,9.7,100.89,Snow
2012-01-04 16:00:00,-9.4,15.079999999999998,-15.5,61,13,19.3,100.79,Snow
2012-01-04 17:00:00,-8.9,15.98,-13.2,71,9,4.8,100.76,Snow
2012-01-04 18:00:00,-8.9,15.98,-12.6,75,11,9.7,100.69,Snow
2012-01-04 19:00:00,-8.4,16.88,-12.7,71,9,16.1,100.65,Snow
2012-01-04 20:00:00,-7.8,17.96,-12.1,71,9,16.1,100.61,Snow
2012-01-04 21:00:00,-7.6,18.32,-11.6,73,7,11.3,100.54,Snow
2012-01-04 22:00:00,-9.5,14.899999999999999,-12.7,77,6,9.7,100.5,Snow
2012-01-04 23:00:00,-9.6,14.719999999999999,-12.6,79,6,9.7,100.42,Snow
2012-01-05 00:00:00,-8.8,16.159999999999997,-11.7,79,4,9.7,100.32,Snow
2012-01-05 01:00:00,-7.5,18.5,-10.2,81,0,9.7,100.29,Snow
2012-01-05 02:00:00,-5.4,22.28,-8.3,80,9,8.0,100.28,Snow
2012-01-05 03:00:00,-5.0,23.0,-7.7,81,11,9.7,100.24,Snow
2012-01-05 04:00:00,-4.1,24.62,-6.5,83,9,4.8,100.21,Snow
2012-01-05 05:00:00,-7.0,19.4,-9.5,82,4,4.0,100.19,Snow
2012-01-05 06:00:00,-8.2,17.240000000000002,-10.7,82,6,6.4,100.26,Snow
2012-01-05 07:00:00,-7.1,19.22,-9.7,82,9,9.7,100.31,Snow
2012-01-05 08:00:00,-6.1,21.02,-9.1,79,11,9.7,100.39,Snow
2012-01-05 09:00:00,-6.6,20.12,-10.1,76,9,24.1,100.42,Mainly Clear
2012-01-05 10:00:00,-6.0,21.2,-10.0,73,17,48.3,100.45,Mainly Clear
2012-01-05 11:00:00,-5.6,21.92,-10.2,70,22,48.3,100.41,Mainly Clear
2012-01-05 12:00:00,-4.7,23.54,-9.6,69,20,48.3,100.38,Mainly Clear
2012-01-05 13:00:00,-4.4,24.08,-9.7,66,26,48.3,100.4,Mainly Clear
2012-01-05 14:00:00,-5.1,22.82,-10.7,65,22,48.3,100.46,Mainly Clear
2012-01-05 15:00:00,-4.3,24.259999999999998,-12.0,55,26,48.3,100.52,Mainly Clear
2012-01-05 16:00:00,-5.0,23.0,-12.7,55,19,24.1,100.6,Mainly Clear
2012-01-05 17:00:00,-6.7,19.939999999999998,-14.1,56,11,25.0,100.65,Mainly Clear
2012-01-05 18:00:00,-7.1,19.22,-14.4,56,11,25.0,100.71,Clear
2012-01-05 19:00:00,-9.2,15.440000000000001,-15.4,61,7,25.0,100.8,Clear
2012-01-05 20:00:00,-9.8,14.36,-15.7,62,9,25.0,100.83,Clear
2012-01-05 21:00:00,-9.0,15.8,-14.8,63,13,25.0,100.83,Clear
2012-01-05 22:00:00,-9.9,14.18,-15.7,63,7,25.0,100.85,Cloudy
2012-01-05 23:00:00,-9.4,15.079999999999998,-15.5,61,9,25.0,100.83,Cloudy
2012-01-06 00:00:00,-9.6,14.719999999999999,-16.8,56,13,25.0,100.81,Cloudy
2012-01-06 01:00:00,-10.0,14.0,-17.3,55,17,25.0,100.81,Cloudy
2012-01-06 02:00:00,-10.5,13.099999999999998,-16.5,61,9,25.0,100.84,Cloudy
2012-01-06 03:00:00,-10.6,12.920000000000002,-16.0,64,0,9.7,100.76,Snow
2012-01-06 04:00:00,-11.3,11.659999999999997,-16.1,68,15,3.2,100.7,Snow
2012-01-06 05:00:00,-11.8,10.759999999999998,-16.0,71,19,2.8,100.61,Snow
2012-01-06 06:00:00,-12.0,10.399999999999999,-16.2,71,22,4.8,100.58,Snow
2012-01-06 07:00:00,-14.4,6.079999999999998,-16.3,85,22,2.4,100.52,Snow
2012-01-06 08:00:00,-12.3,9.86,-16.2,73,24,11.3,100.51,Snow
2012-01-06 09:00:00,-12.5,9.5,-16.7,71,26,19.3,100.53,Snow
2012-01-06 10:00:00,-12.3,9.86,-16.3,72,28,16.1,100.47,Snow
2012-01-06 11:00:00,-12.0,10.399999999999999,-16.0,72,17,24.1,100.36,Snow
2012-01-06 12:00:00,-11.7,10.940000000000001,-15.4,74,28,19.3,100.23,Snow
2012-01-06 13:00:00,-11.9,10.579999999999998,-15.6,74,20,24.1,100.13,Snow
2012-01-06 14:00:00,-11.2,11.84,-14.8,75,19,19.3,100.07,Snow
2012-01-06 15:00:00,-11.5,11.3,-14.4,79,19,12.9,100.06,Snow
2012-01-06 16:00:00,-11.6,11.120000000000001,-14.7,78,19,19.3,100.1,Snow
2012-01-06 17:00:00,-11.2,11.84,-14.3,78,17,25.0,100.15,Snow
2012-01-06 18:00:00,-10.5,13.099999999999998,-13.6,78,17,19.3,100.12,Cloudy
2012-01-06 19:00:00,-10.5,13.099999999999998,-13.4,79,15,25.0,100.13,Cloudy
2012-01-06 20:00:00,-10.2,13.64,-13.0,80,11,25.0,100.15,Cloudy
2012-01-06 21:00:00,-9.5,14.899999999999999,-12.5,79,9,25.0,100.13,Cloudy
2012-01-06 22:00:00,-9.3,15.259999999999998,-12.2,79,11,19.3,100.16,Cloudy
2012-01-06 23:00:00,-9.0,15.8,-12.0,79,7,16.1,100.15,Cloudy
2012-01-07 00:00:00,-8.7,16.340000000000003,-11.7,79,6,16.1,100.13,Cloudy
2012-01-07 01:00:00,-8.5,16.7,-11.4,80,0,19.3,100.11,Cloudy
2012-01-07 02:00:00,-8.1,17.42,-11.1,79,4,19.3,100.15,Cloudy
2012-01-07 03:00:00,-7.8,17.96,-10.8,79,4,19.3,100.12,Cloudy
2012-01-07 04:00:00,-7.5,18.5,-10.5,79,6,19.3,100.1,Cloudy
2012-01-07 05:00:00,-6.9,19.58,-9.7,80,4,19.3,100.12,Cloudy
2012-01-07 06:00:00,-6.7,19.939999999999998,-9.5,80,7,16.1,100.12,Cloudy
2012-01-07 07:00:00,-7.0,19.4,-9.7,81,7,16.1,100.16,Cloudy
2012-01-07 08:00:00,-6.4,20.479999999999997,-9.0,82,9,8.0,100.1,"Freezing Drizzle,Fog"
2012-01-07 09:00:00,-6.1,21.02,-8.7,82,7,9.7,100.15,"Freezing Rain,Fog"
2012-01-07 10:00:00,-5.7,21.740000000000002,-8.0,84,7,8.0,100.13,Freezing Rain
2012-01-07 11:00:00,-5.4,22.28,-7.7,84,9,9.7,100.08,Freezing Drizzle
2012-01-07 12:00:00,-5.5,22.1,-7.8,84,13,9.7,100.05,Freezing Drizzle
2012-01-07 13:00:00,-4.8,23.36,-7.2,83,15,9.7,100.07,Freezing Rain
2012-01-07 14:00:00,-4.4,24.08,-6.9,83,6,8.0,100.09,Snow
2012-01-07 15:00:00,-3.7,25.34,-6.1,83,11,8.0,100.09,Snow
2012-01-07 16:00:00,-3.6,25.52,-5.9,84,0,8.0,100.15,Snow
2012-01-07 17:00:00,-3.1,26.42,-5.4,84,13,8.0,100.27,Snow
2012-01-07 18:00:00,-3.2,26.24,-5.3,85,6,9.7,100.33,Snow
2012-01-07 19:00:00,-3.0,26.6,-5.0,86,6,8.0,100.41,Snow
2012-01-07 20:00:00,-1.8,28.759999999999998,-3.7,87,4,9.7,100.48,Snow
2012-01-07 21:00:00,-1.3,29.66,-3.1,88,0,6.4,100.5,Snow
2012-01-07 22:00:00,-1.5,29.3,-3.0,89,4,4.0,100.54,Fog
2012-01-07 23:00:00,0.4,32.72,-1.5,87,22,9.7,100.62,Snow
2012-01-08 00:00:00,0.6,33.08,-3.2,76,32,25.0,100.72,Cloudy
2012-01-08 01:00:00,-0.6,30.92,-4.6,74,32,25.0,100.8,Mostly Cloudy
2012-01-08 02:00:00,-1.7,28.94,-6.2,71,30,25.0,100.98,Mostly Cloudy
2012-01-08 03:00:00,-3.5,25.7,-8.3,69,32,25.0,101.13,Mainly Clear
2012-01-08 04:00:00,-4.4,24.08,-9.2,69,22,25.0,101.21,Mainly Clear
2012-01-08 05:00:00,-5.9,21.38,-10.5,70,13,25.0,101.33,Mainly Clear
2012-01-08 06:00:00,-5.8,21.560000000000002,-10.8,68,13,25.0,101.47,Cloudy
2012-01-08 07:00:00,-5.6,21.92,-10.3,69,11,25.0,101.59,Cloudy
2012-01-08 08:00:00,-5.9,21.38,-10.7,69,11,24.1,101.7,Snow
2012-01-08 09:00:00,-6.4,20.479999999999997,-11.9,65,17,24.1,101.81,Snow
2012-01-08 10:00:00,-6.5,20.299999999999997,-11.6,67,17,9.7,101.89,Snow
2012-01-08 11:00:00,-7.1,19.22,-12.6,65,22,24.1,101.92,Snow
2012-01-08 12:00:00,-6.7,19.939999999999998,-11.9,66,15,24.1,101.9,Snow
2012-01-08 13:00:00,-6.5,20.299999999999997,-12.4,63,15,24.1,101.94,Cloudy
2012-01-08 14:00:00,-6.5,20.299999999999997,-12.0,65,19,24.1,101.97,Mostly Cloudy
2012-01-08 15:00:00,-6.6,20.12,-12.9,61,20,48.3,102.04,Mostly Cloudy
2012-01-08 16:00:00,-6.6,20.12,-13.3,59,20,24.1,102.09,Mostly Cloudy
2012-01-08 17:00:00,-7.2,19.04,-13.8,59,17,25.0,102.17,Mainly Clear
2012-01-08 18:00:00,-8.1,17.42,-14.1,62,17,25.0,102.23,Mainly Clear
2012-01-08 19:00:00,-8.0,17.6,-13.9,62,15,25.0,102.26,Mostly Cloudy
2012-01-08 20:00:00,-8.3,17.06,-13.7,65,15,25.0,102.28,Mostly Cloudy
2012-01-08 21:00:00,-8.3,17.06,-13.9,64,11,25.0,102.26,Mostly Cloudy
2012-01-08 22:00:00,-8.7,16.340000000000003,-14.0,65,7,25.0,102.22,Mostly Cloudy
2012-01-08 23:00:00,-9.0,15.8,-13.9,68,7,25.0,102.22,Mostly Cloudy
2012-01-09 00:00:00,-9.2,15.440000000000001,-14.3,66,6,25.0,102.17,Mostly Cloudy
2012-01-09 01:00:00,-9.8,14.36,-14.5,68,0,25.0,102.13,Mostly Cloudy
2012-01-09 02:00:00,-9.0,15.8,-14.1,66,4,25.0,102.15,Mostly Cloudy
2012-01-09 03:00:00,-8.8,16.159999999999997,-13.2,70,0,25.0,102.11,Cloudy
2012-01-09 04:00:00,-8.5,16.7,-13.2,69,9,25.0,102.02,Cloudy
2012-01-09 05:00:00,-8.4,16.88,-12.7,71,11,25.0,101.93,Cloudy
2012-01-09 06:00:00,-7.7,18.14,-11.9,72,11,25.0,101.86,Cloudy
2012-01-09 07:00:00,-6.8,19.759999999999998,-11.0,72,15,25.0,101.8,Mostly Cloudy
2012-01-09 08:00:00,-5.9,21.38,-10.5,70,13,16.1,101.74,Snow
2012-01-09 09:00:00,-5.4,22.28,-9.2,75,11,12.9,101.68,Snow
2012-01-09 10:00:00,-4.8,23.36,-8.3,76,9,16.1,101.64,Snow
2012-01-09 11:00:00,-3.7,25.34,-7.2,77,7,24.1,101.54,Snow
2012-01-09 12:00:00,-2.5,27.5,-6.6,73,9,24.1,101.4,Cloudy
2012-01-09 13:00:00,-1.7,28.94,-5.8,74,7,24.1,101.27,Cloudy
2012-01-09 14:00:00,-1.4,29.48,-5.1,76,7,24.1,101.2,Cloudy
2012-01-09 15:00:00,-1.0,30.2,-5.1,74,9,24.1,101.13,Mostly Cloudy
2012-01-09 16:00:00,-1.3,29.66,-5.7,72,11,24.1,101.05,Mostly Cloudy
2012-01-09 17:00:00,-1.4,29.48,-5.8,72,15,24.1,100.96,Mostly Cloudy
2012-01-09 18:00:00,-1.0,30.2,-5.6,71,20,25.0,100.9,Mostly Cloudy
2012-01-09 19:00:00,-1.1,30.02,-5.8,70,19,25.0,100.83,Mostly Cloudy
2012-01-09 20:00:00,-1.5,29.3,-6.2,70,15,25.0,100.77,Mostly Cloudy
2012-01-09 21:00:00,-1.7,28.94,-6.3,71,11,25.0,100.64,Mostly Cloudy
2012-01-09 22:00:00,-0.3,31.46,-6.3,64,19,25.0,100.54,Mostly Cloudy
2012-01-09 23:00:00,-0.2,31.64,-6.1,64,17,25.0,100.45,Cloudy
2012-01-10 00:00:00,2.5,36.5,-5.2,57,30,25.0,100.38,Cloudy
2012-01-10 01:00:00,2.3,36.14,-3.4,66,35,25.0,100.28,Snow
2012-01-10 02:00:00,1.4,34.52,-2.5,75,19,6.4,100.23,Snow
2012-01-10 03:00:00,1.6,34.88,-2.0,77,28,25.0,100.16,Snow
2012-01-10 04:00:00,1.2,34.16,-1.7,81,26,25.0,100.07,Cloudy
2012-01-10 05:00:00,0.8,33.44,-1.2,86,30,9.7,100.02,"Rain,Snow"
2012-01-10 06:00:00,0.7,33.26,-1.2,87,30,8.0,100.04,Snow
2012-01-10 07:00:00,1.5,34.7,-0.7,85,20,8.0,100.08,Snow
2012-01-10 08:00:00,1.2,34.16,-1.1,85,24,16.1,100.11,Cloudy
2012-01-10 09:00:00,1.6,34.88,-0.8,84,17,19.3,100.23,Cloudy
2012-01-10 10:00:00,2.0,35.6,-0.9,81,24,24.1,100.27,Mostly Cloudy
2012-01-10 11:00:00,2.6,36.68,-1.1,77,22,24.1,100.29,Mainly Clear
2012-01-10 12:00:00,1.4,34.52,-3.1,72,30,24.1,100.32,Mostly Cloudy
2012-01-10 13:00:00,0.7,33.26,-5.4,64,26,24.1,100.36,Mostly Cloudy
2012-01-10 14:00:00,-0.2,31.64,-6.2,64,26,24.1,100.45,Mainly Clear
2012-01-10 15:00:00,-1.4,29.48,-7.9,61,30,24.1,100.65,Mainly Clear
2012-01-10 16:00:00,-3.1,26.42,-10.9,55,30,24.1,100.81,Mostly Cloudy
2012-01-10 17:00:00,-4.0,24.8,-12.0,54,17,24.1,100.91,Mostly Cloudy
2012-01-10 18:00:00,-4.9,23.18,-12.7,54,15,25.0,101.04,Mostly Cloudy
2012-01-10 19:00:00,-5.7,21.740000000000002,-13.8,53,15,25.0,101.15,Mostly Cloudy
2012-01-10 20:00:00,-6.4,20.479999999999997,-14.3,53,13,25.0,101.24,Mostly Cloudy
2012-01-10 21:00:00,-6.6,20.12,-13.6,57,9,25.0,101.32,Mostly Cloudy
2012-01-10 22:00:00,-7.3,18.86,-14.7,55,13,25.0,101.34,Mostly Cloudy
2012-01-10 23:00:00,-8.6,16.52,-15.6,57,19,25.0,101.44,Mostly Cloudy
2012-01-11 00:00:00,-9.5,14.899999999999999,-16.8,55,17,25.0,101.43,Mostly Cloudy
2012-01-11 01:00:00,-10.7,12.740000000000002,-17.8,56,17,25.0,101.49,Clear
2012-01-11 02:00:00,-12.0,10.399999999999999,-18.9,56,19,25.0,101.57,Clear
2012-01-11 03:00:00,-12.7,9.14,-19.4,57,19,25.0,101.64,Clear
2012-01-11 04:00:00,-13.4,7.879999999999999,-20.1,57,17,25.0,101.66,Clear
2012-01-11 05:00:00,-13.9,6.98,-21.0,55,19,25.0,101.66,Mainly Clear
2012-01-11 06:00:00,-14.4,6.079999999999998,-21.1,57,20,25.0,101.72,Mainly Clear
2012-01-11 07:00:00,-14.4,6.079999999999998,-21.0,57,13,25.0,101.77,Mostly Cloudy
2012-01-11 08:00:00,-14.7,5.539999999999999,-21.4,57,15,24.1,101.8,Mostly Cloudy
2012-01-11 09:00:00,-14.3,6.259999999999998,-20.8,58,15,24.1,101.81,Mostly Cloudy
2012-01-11 10:00:00,-13.9,6.98,-20.9,55,11,19.3,101.89,Cloudy
2012-01-11 11:00:00,-13.4,7.879999999999999,-20.8,54,15,24.1,101.78,Mostly Cloudy
2012-01-11 12:00:00,-12.7,9.14,-20.4,53,17,24.1,101.68,Cloudy
2012-01-11 13:00:00,-12.2,10.04,-20.0,52,19,24.1,101.63,Mostly Cloudy
2012-01-11 14:00:00,-11.4,11.48,-19.4,52,20,24.1,101.56,Mostly Cloudy
2012-01-11 15:00:00,-11.6,11.120000000000001,-19.9,50,20,24.1,101.61,Mostly Cloudy
2012-01-11 16:00:00,-11.8,10.759999999999998,-20.9,47,20,24.1,101.6,Mostly Cloudy
2012-01-11 17:00:00,-11.9,10.579999999999998,-20.1,51,26,24.1,101.56,Mostly Cloudy
2012-01-11 18:00:00,-12.0,10.399999999999999,-19.9,52,24,25.0,101.51,Mostly Cloudy
2012-01-11 19:00:00,-11.8,10.759999999999998,-19.2,54,30,25.0,101.43,Mostly Cloudy
2012-01-11 20:00:00,-11.2,11.84,-18.1,57,24,25.0,101.4,Cloudy
2012-01-11 21:00:00,-11.2,11.84,-16.5,65,19,25.0,101.32,Cloudy
2012-01-11 22:00:00,-10.8,12.559999999999999,-16.0,65,22,25.0,101.29,Cloudy
2012-01-11 23:00:00,-10.7,12.740000000000002,-15.7,67,20,25.0,101.19,Mostly Cloudy
2012-01-12 00:00:00,-10.0,14.0,-15.2,66,19,25.0,101.17,Mostly Cloudy
2012-01-12 01:00:00,-9.8,14.36,-15.2,65,24,25.0,101.13,Mostly Cloudy
2012-01-12 02:00:00,-9.4,15.079999999999998,-15.0,64,26,25.0,101.08,Cloudy
2012-01-12 03:00:00,-9.0,15.8,-14.7,63,33,25.0,101.02,Cloudy
2012-01-12 04:00:00,-8.5,16.7,-14.1,64,22,25.0,100.93,Cloudy
2012-01-12 05:00:00,-8.0,17.6,-13.7,64,30,25.0,100.81,Cloudy
2012-01-12 06:00:00,-7.6,18.32,-13.1,65,28,25.0,100.76,Cloudy
2012-01-12 07:00:00,-7.3,18.86,-12.7,65,28,16.1,100.69,Snow Showers
2012-01-12 08:00:00,-7.1,19.22,-11.3,72,33,6.4,100.61,Snow
2012-01-12 09:00:00,-6.8,19.759999999999998,-10.5,75,33,3.2,100.54,Snow
2012-01-12 10:00:00,-6.2,20.84,-9.6,77,35,4.8,100.46,Snow
2012-01-12 11:00:00,-6.0,21.2,-9.5,76,32,2.0,100.35,Snow
2012-01-12 12:00:00,-5.8,21.560000000000002,-8.9,79,32,4.8,100.22,Snow
2012-01-12 13:00:00,-5.8,21.560000000000002,-8.6,81,33,1.2,100.09,Snow
2012-01-12 14:00:00,-5.7,21.740000000000002,-8.5,81,28,1.2,99.97,Snow
2012-01-12 15:00:00,-5.2,22.64,-7.6,83,26,0.8,99.9,Moderate Snow
2012-01-12 16:00:00,-4.9,23.18,-7.3,83,33,0.6,99.88,Moderate Snow
2012-01-12 17:00:00,-5.1,22.82,-7.6,83,33,1.0,99.83,Snow
2012-01-12 18:00:00,-5.4,22.28,-8.1,81,35,1.2,99.76,Snow
2012-01-12 19:00:00,-5.0,23.0,-7.6,82,30,4.0,99.72,Snow
2012-01-12 20:00:00,-5.0,23.0,-7.8,81,28,6.4,99.64,Snow
2012-01-12 21:00:00,-4.7,23.54,-7.6,80,24,6.4,99.56,Snow
2012-01-12 22:00:00,-4.1,24.62,-6.8,81,26,25.0,99.47,Snow
2012-01-12 23:00:00,-4.6,23.72,-7.0,83,28,3.2,99.4,Snow
2012-01-13 00:00:00,-5.1,22.82,-7.5,83,28,2.4,99.3,Snow
2012-01-13 01:00:00,-5.0,23.0,-7.7,81,24,4.8,99.24,Snow
2012-01-13 02:00:00,-4.8,23.36,-7.5,81,22,25.0,99.22,Snow
2012-01-13 03:00:00,-4.5,23.9,-6.9,83,19,4.8,99.19,"Freezing Drizzle,Snow"
2012-01-13 04:00:00,-5.0,23.0,-7.4,83,24,11.3,99.13,Cloudy
2012-01-13 05:00:00,-5.1,22.82,-7.7,82,20,12.9,99.06,Cloudy
